freq,dbfs,dbspl,rms,min_amp,max_amp,tag
460.57,-31,95.89,0.0099,-0.028,0.0245,
3006.82,-35,93.71,0.0077,-0.0166,0.0187,
4490.6,-31,96.4,0.0105,-0.028,0.0297,
4562.07,-32,98.39,0.0132,-0.0246,0.0255,
3224.02,-30,97.19,0.0115,-0.03,0.0286,
4009.09,-34,95.89,0.0099,-0.0169,0.019,
4739.72,-30,95.44,0.0094,-0.0309,0.0206,
4306.64,-32,95.89,0.0099,-0.0252,0.0226,
3799.74,-31,95.35,0.0093,-0.0233,0.0291,
2534.48,-36,90.94,0.0056,-0.0116,0.0159,
4260.31,-33,94.15,0.0081,-0.0231,0.0233,
4510.23,-38,92.76,0.0069,-0.0128,0.0133,
3799.74,-35,90.13,0.0051,-0.0141,0.0173,
4562.07,-37,89.23,0.0046,-0.0091,0.0141,
4445.56,-38,89.23,0.0046,-0.0123,0.0118,
4350.67,-39,87.58,0.0038,-0.0108,0.0102,
4375.46,-37,89.04,0.0045,-0.0125,0.0134,
3548.28,-41,85.81,0.0031,-0.0093,0.0063,
4375.46,-39,86.86,0.0035,-0.0107,0.0116,
4562.07,-39,88.02,0.004,-0.0106,0.0086,
230.29,-39,86.61,0.0034,-0.0101,0.0109,
4009.09,-42,85.23,0.0029,-0.0083,0.0051,
156.94,-41,85.81,0.0031,-0.0085,0.0083,
233.33,-39,86.86,0.0035,-0.0112,0.0109,
115.14,-43,84.28,0.0026,-0.0062,0.0072,
4562.07,-45,83.21,0.0023,-0.0058,0.0058,
115.14,-43,83.94,0.0025,-0.0063,0.0072,
3548.28,-46,82.42,0.0021,-0.0049,0.0052,
1130.77,-41,84.61,0.0027,-0.0091,0.0074,
1612.01,-34,90.79,0.0055,-0.0196,0.0168,
1520.69,-34,93.36,0.0074,-0.0193,0.0116,
4260.31,-31,94.26,0.0082,-0.0276,0.0255,
3507.95,-31,97.04,0.0113,-0.0246,0.0271,
4375.46,-29,98.06,0.0127,-0.0331,0.0364,
4055.17,-28,100.49,0.0168,-0.0389,0.031,
3801.72,-25,101.08,0.018,-0.0438,0.0546,
4337.7,-27,102.26,0.0206,-0.0436,0.0436,
4490.6,-24,101.74,0.0194,-0.057,0.0618,
1002.27,-29,99.09,0.0143,-0.0336,0.0285,
1496.87,-23,100.99,0.0178,-0.0471,0.0692,
